OWOEdgeCorner,1,0,0
OWOFlat,2,50,0
OWOFlat,2,100,0
OWOFlat,2,150,0
OWOFlat,2,200,0
OWOFlat,2,250,0
OWOFlat,2,300,0
OWOFlat,2,350,0
OWOFlat,2,400,0
OWOFlat,2,450,0
OWOFlat,2,500,0
OWOFlat,2,550,0
OWOEdgeCorner,2,600,0
OWOFlat,1,0,50
EnemySpawner,0,300,50,0,1
OWOFlat,3,600,50
OWOFlat,1,0,100
EnemySpawner,0,100,100,0,8
EnemySpawner,0,500,100,0,8
OWOFlat,3,600,100
OWOFlat,1,0,150
OWOFlat,3,600,150
OWOFlat,1,0,200
OWOFlat,3,600,200
OWOFlat,1,0,250
OWOFlat,3,600,250
OWOFlat,1,0,300
OWOFlat,3,600,300
OWOFlat,1,0,350
OWOFlat,3,600,350
OWOFlat,1,0,400
OWOFlat,3,600,400
OWOFlat,1,0,450
OWOFlat,3,600,450
OWOFlat,1,0,500
OWOFlat,3,600,500
OWOFlat,1,0,550
OWOFlat,3,600,550
OWOFlat,1,0,600
OWOFlat,3,600,600
OWOFlat,1,0,650
OWOFlat,3,600,650
OWOFlat,1,0,700
OWOFlat,3,600,700
OWOFlat,1,0,750
OWOFlat,3,600,750
OWOFlat,1,0,800
OWOFlat,3,600,800
OWOFlat,1,0,850
TriggerTile,2,50,850,0
TriggerTile,2,100,850,0
TriggerTile,2,150,850,0
TriggerTile,2,200,850,0
TriggerTile,2,250,850,0
BossSpawner,0,300,850,0,4
PlayerSpawnPoint,0,300,850
PlayerSpawnPoint,0,300,850
TriggerTile,2,350,850,0
TriggerTile,2,400,850,0
TriggerTile,2,450,850,0
TriggerTile,2,500,850,0
TriggerTile,2,550,850,0
OWOFlat,3,600,850
OWOEdgeCorner,0,0,900
OWOFlat,0,50,900
OWOFlat,0,100,900
OWOFlat,0,150,900
OWOFlat,0,200,900
OWOFlat,0,250,900
OWOFlat,0,300,900
OWOFlat,0,350,900
OWOFlat,0,400,900
OWOFlat,0,450,900
OWOFlat,0,500,900
OWOFlat,0,550,900
OWOEdgeCorner,3,600,900
